slug,code_extraido,url_tiene_guionbajo,corpus_existe,titulo_sanity,titulo_corpus,precio_sanity,precio_corpus,estado
valley-of-fire-lost-city-museum-day-trip-vegas,5119,SI,NO,Valley of Fire Lost City Museum Day Trip Vegas,,160.99,,SIN_CORPUS
red-rock-canyon-spring-mountain-ranch-combo-tour-vegas,159353P5,no,si,Red Rock Canyon Spring Mountain Ranch Combo Tour Vegas,The Ultimate Red Rock Canyon Scenic Experience,165,165,OK
upper-antelope-canyon-horseshoe-bend-vegas-trip,60136P60,no,si,Upper Antelope Canyon Horseshoe Bend Vegas Trip,Upper Antelope Canyon & Horseshoe Bend from Las Vegas with Lunch,259,259,OK
valley-of-fire-photography-hiking-tour-small-group-vegas,26719P4,no,si,Valley of Fire Photography Hiking Tour Small Group Vegas,Photographer's Dream: Valley of Fire Hiking Tour,129,129,OK
death-valley-vip-small-group-desert-adventure-las-vegas,142926P7,no,si,Death Valley VIP Small Group Desert Adventure Las Vegas,Death Valley Small Group VIP Tour from Las Vegas,240,240,OK
lower-antelope-canyon-lake-powell-day-trip-vegas,326264P1,no,si,Lower Antelope Canyon Lake Powell Day Trip Vegas,Lower Antelope Canyon&Horseshoe Bend&Lake Powell with WiFi  Lunch,189,189,OK
hoover-dam-bridge-walk-boulder-city-historic-tour,60136P38,no,si,Hoover Dam Bridge Walk & Boulder City Historic Tour,Hoover Dam Highlights Tour from Las Vegas  WiFi,65,65,OK
grand-canyon-helicopter-landing-tour-from-las-vegas,5847LASWIN,no,si,Grand Canyon Helicopter Landing Tour from Las Vegas,Grand Canyon Deluxe Helicopter Tour with Landing from Las Vegas,505.25,505.25,OK
las-vegas-strip-walking-tour-insider-tips-hidden-spots,138742P1,no,si,Las Vegas Strip Walking Tour: Insider Tips & Hidden Spots,Must-See Spots: The Original Las Vegas Strip Walking Tour,49,49,OK
hoover-dam-kayak-adventure-colorado-river-tour,240046P2,no,si,Hoover Dam Kayak Adventure: Colorado River Tour,Hoover Dam and Hot Springs Kayak Tour with Lunch and Expert Guide,289,289,OK
1-hour-beginner-atv-adventure-with-training-las-vegas,18018P13,no,si,1-Hour Beginner ATV Adventure with Training Las Vegas,Las Vegas Beginner ATV Tour with Safety Training,90,90,OK
9-hour-atv-valley-fire-dune-buggy-combo-vegas-adventure,3611P1,no,si,9-Hour ATV Valley Fire Dune Buggy Combo Vegas Adventure,ATV Tour and Dune Buggy Chase Dakar Combo Adventure from Las Vegas,1158.26,1158.26,OK
red-rock-canyon-heli-tour-with-landing-champagne,5847NIGHT,SI,si,Red Rock Canyon Heli Tour with Landing & Champagne,Las Vegas Strip Helicopter Night Flight,257.1,99.94,SOSPECHOSO
las-vegas-party-bus-club-crawl-2-vip-venues-bonus-night,343687P5,no,si,Las Vegas Party Bus Club Crawl: 2 VIP Venues + Bonus Night,Las Vegas Nightclub VIP Entry with Party Bus,85,85,OK
strip-nightclub-crawl-3-venues-party-bus-transport,89557P6,no,si,Strip Nightclub Crawl: 3 Venues + Party Bus Transport,Las Vegas Strip Nightclub Crawl,99.99,99.99,OK
all-shook-up-elvis-show-alexis-park-live-band-vegas,61034P36,no,si,All Shook Up Elvis Show Alexis Park Live Band Vegas,All Shook Up: Elvis Tribute Show at Alexis Park Resort Hotel,37.95,37.95,OK
12-hour-grand-canyon-west-skywalk-hoover-dam-small-group,54567P1,no,si,12-Hour Grand Canyon West Skywalk Hoover Dam Small Group,Small Group Grand Canyon Skywalk & Hoover Dam Tour,195,195,OK
10-hour-west-rim-skywalk-luxury-mercedes-tour-from-vegas,50793P1,no,si,10-Hour West Rim Skywalk Luxury Mercedes Tour from Vegas,Small Group Tour: Grand Canyon West Rim  Skywalk & Hoover Dam,229.99,229.99,OK
7-day-southwest-parks-adventure-zion-bryce-monument-valley,5602SWH,SI,NO,7-Day Southwest Parks Adventure: Zion Bryce Monument Valley,,1995,,SIN_CORPUS
exclusive-grand-canyon-west-private-day-trip-vegas,60136P50,no,si,Exclusive Grand Canyon West Private Day Trip Vegas,Private Tour: Grand Canyon West,1074,1074,OK
6-hour-grand-canyon-west-small-group-tour-from-laughlin,215651P2,no,si,6-Hour Grand Canyon West Small Group Tour from Laughlin,Grand Canyon West Skywalk Western Ranch Joshua Forest,259,259,OK
