incluir;productCode;categoria;titulo;rating;reviews;price;score;viatorUrl
x;73781P4;grand-canyon-tours;Small Group Grand Canyon, Hoover Dam, 7 Magic Mountains VIP Tour;4.969997;3133;189.99;4.965;https://www.viator.com/tours/Las-Vegas/Red-Rock-Canyon-and-Seven-Magic-Mountains-Tour/d684-73781P4?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;73781P3;grand-canyon-tours;2 Day: Grand Canyon, Antelope Canyon, Horseshoe Bend, Zion Tour;4.9792747;772;399.99;4.959;https://www.viator.com/tours/Las-Vegas/Grand-Canyon-Antelope-Canyon-Overnight-Tour/d684-73781P3?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;73781P2;grand-canyon-tours;Grand Canyon, Bryce, Zion, Antelope Canyon, Monument Valley 3 Day Tour;4.964803;483;799.99;4.935;https://www.viator.com/tours/Las-Vegas/Grand-Canyon-Antelope-Canyon-Two-Day-Sunrise-Tour/d684-73781P2?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;132218P614;grand-canyon-tours;Small Group Grand Canyon West and 7 Magic Mountains Day Tour;4.95914;465;178;4.929;https://www.viator.com/tours/Las-Vegas/Grand-Canyon-West-Hoover-Dam-and-7-Magic-Mountains-Tour/d684-132218P614?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;54567P1;grand-canyon-tours;Small Group Grand Canyon Skywalk & Hoover Dam Tour;4.9662576;326;195;4.924;https://www.viator.com/tours/Las-Vegas/SMALL-GROUP-Grand-Canyon-Skywalk-and-Hoover-Dam-Tour/d684-54567P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;132218P75;grand-canyon-tours;Grand Canyon West, Hoover Dam Stop and Optional Lunch and Skywalk;4.905543;22751;94;4.905;https://www.viator.com/tours/Las-Vegas/Grand-Canyon-Skywalk-Hoover-Dam-Day-Trip-W-Lunch-from-Las-Vegas/d684-132218P75?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;73781P7;grand-canyon-tours;Small Group Late Departure Grand Canyon Tour;4.9415207;171;179.99;4.875;https://www.viator.com/tours/Las-Vegas/Grand-Canyon-Half-Day-Small-Group-Tour/d684-73781P7?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;110263P2;grand-canyon-tours;Private All-Access Tour: Grand Canyon & Hoover Dam from Vegas;4.951049;143;629;4.872;https://www.viator.com/tours/Las-Vegas/Grand-Canyon-West-Rim-Sunset-Day-Bus-Tour/d684-110263P2?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;3431P9;grand-canyon-tours;Private VIP Grand Canyon West Rim & Hoover Dam Tour with Meals;4.9469695;132;1265;4.865;https://www.viator.com/tours/Las-Vegas/Grand-Canyon-West-with-Hot-Breakfast/d684-3431P9?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;60136P20;grand-canyon-tours;Grand Canyon + Hoover Dam View + WiFi (Skywalk/Lunch options);4.865019;5786;99;4.863;https://www.viator.com/tours/Las-Vegas/Grand-Canyon-West-Rim-Tour-with-Options-from-Las-Vegas/d684-60136P20?mcid=42383&pid=P00140156&medium=api&api_version=2.0
